Accuracy,Precision,Recall,F1,AUC,Channel
0.9296795523906409,0.0,0.0,0.0,0.2725290691742273,A-2
0.9212752912323727,0.0,0.0,0.0,0.2889711110895305,A-3
0.9301369863013699,0.0,0.0,0.0,0.35093396745796407,A-4
0.9463708808959724,0.17672413793103448,0.41414141414141414,0.24773413897280966,0.7274116606202874,A-5
0.963206904383375,0.334841628959276,0.8314606741573034,0.4774193548387097,0.9453568991472758,A-6
0.49285285285285285,0.0,0.0,0.0,0.39561278243577963,A-8
0.4890267175572519,0.0,0.0,0.0,0.2761758185382656,A-9
0.9350763072304228,0.0,0.0,0.0,0.6161947445644924,B-1
0.8062330623306233,0.40540540540540543,0.11029411764705882,0.17341040462427745,0.6187531214036003,C-1
0.8705647176411794,0.37,0.15879828326180256,0.2222222222222222,0.7042049404773465,C-2
0.6648540016550419,1.0,0.1298342541436464,0.22982885085574573,0.9595959730084488,D-1
0.9352391274895001,0.0,0.0,0.0,0.40639224472906,D-11
0.7019572953736655,1.0,0.1438481197517342,0.25151611873603574,0.905828350712978,D-12
0.9238145277814265,0.013123359580052493,0.023923444976076555,0.01694915254237288,0.640155715648337,D-13
0.8660194174757282,0.3953488372093023,0.16037735849056603,0.22818791946308725,0.5805864633578831,D-14
0.687381404174573,0.49056603773584906,0.0791476407914764,0.1363040629095675,0.6225602035860431,D-15
0.6823914058851004,0.5887850467289719,0.09012875536480687,0.15632754342431762,0.5851652549014938,D-16
0.9451042491422539,0.08179419525065963,0.31313131313131315,0.1297071129707113,0.3295544021576914,D-5
0.9334950217002809,0.0,0.0,0.0,0.6956592165562481,D-6
0.625,0.3078947368421053,0.04331728989263236,0.0759493670886076,0.6719018096919358,D-7
0.9410787321063395,0.03826530612244898,0.15151515151515152,0.06109979633401222,0.6627635579091891,D-8
0.7948613376835236,0.019021739130434784,0.006060606060606061,0.009192383453709783,0.8462039707322726,D-9
0.8785731159933853,0.0,0.0,0.0,0.42453325662378005,E-1
0.9005322294500295,0.0,0.0,0.0,0.5533910746529358,E-10
0.9037098298676749,0.0,0.0,0.0,0.570866609452176,E-11
0.8696525644055779,0.0,0.0,0.0,0.31959094033917435,E-12
0.5885914981228049,0.27602905569007263,0.03549190535491906,0.06289655172413793,0.1765809149781481,E-3
0.6209055876685935,0.15384615384615385,0.022377622377622378,0.03907203907203907,0.17673486047383916,E-4
0.9206695778748181,0.1549636803874092,0.17344173441734417,0.1636828644501279,0.3804761044435841,E-5
0.9518787878787879,0.15738498789346247,0.5701754385964912,0.24667931688804554,0.6442570598078283,E-6
0.9554479418886198,0.45278450363196127,0.5683890577507599,0.5040431266846361,0.7780442180064454,E-7
0.9171110033931168,0.1549636803874092,0.16040100250626566,0.15763546798029557,0.4724921944489391,E-9
0.9550804708143166,0.15827338129496402,0.7415730337078652,0.2608695652173913,0.8416503772372673,F-3
