Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6866080658797866,4.525314569473267,0.35304999351501465,1127724
A-2,0.9232147427693883,0.0,0.0,0.0,0.1865814796988886,3.1951241493225098,0.29589104652404785,1127724
A-3,0.9148673658235656,0.0,0.0,0.0,0.325075050739162,3.290156364440918,0.2877342700958252,1127724
A-4,0.9238095238095239,0.0,0.0,0.0,0.29078053048415187,3.283940315246582,0.28829002380371094,1127724
A-5,0.9366427171783148,0.19130434782608696,0.2953020134228188,0.23218997361477572,0.6907843468910649,0.74812912940979,0.16713690757751465,1127724
A-6,0.9694463588329888,0.5137614678899083,0.8057553956834532,0.6274509803921569,0.9191637672301646,0.7248613834381104,0.1609508991241455,1127724
A-7,0.6651037393037159,0.0,0.0,0.0,0.07331180276052701,3.4811296463012695,0.30849623680114746,1127724
A-8,0.4901510574018127,0.0,0.0,0.0,0.7257669321245153,0.8151252269744873,0.30684900283813477,1127724
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848,0.871450662612915,0.30472493171691895,1127724
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693,2.868509292602539,0.2843165397644043,1127724
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7092928614667744,5.910344362258911,0.16601204872131348,2480724
C-2,0.8047155304971809,0.25510204081632654,0.07507507507507508,0.11600928074245939,0.8045505332279127,2.2145462036132812,0.1582169532775879,2480724
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9723014442057357,3.5989573001861572,0.3019239902496338,1127724
D-11,0.928249897694721,0.0,0.0,0.0,0.42055846110134804,3.0445168018341064,0.26555943489074707,1127724
D-12,0.6954464057303659,1.0,0.13070463672873311,0.23119147562156925,0.9350737356700963,0.28249573707580566,0.2890899181365967,1127724
D-13,0.9657543302922121,0.0,0.0,0.0,0.6349178743757058,1.895601511001587,0.2748098373413086,1127724
D-14,0.853069306930693,0.6850393700787402,0.20813397129186603,0.3192660550458716,0.6835519787084745,10.299234628677368,0.190643310546875,2480724
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.692865609148499,5.672005891799927,0.15869474411010742,2480724
D-16,0.6633189861310378,0.7142857142857143,0.10013351134846461,0.1756440281030445,0.6093071934959479,3.8995440006256104,0.1607353687286377,2480724
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6414817771126078,3.5168492794036865,0.2975165843963623,1127724
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9723620379569026,3.4952824115753174,0.306194543838501,1127724
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.99259570435737,3.4459433555603027,0.30248332023620605,1127724
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.2235093058388989,3.0399951934814453,0.27057862281799316,1127724
D-6,0.9269013360739979,0.0,0.0,0.0,0.594654354860629,3.0901710987091064,0.27641868591308594,1127724
D-7,0.6164147440997083,0.24603174603174602,0.03443169196593854,0.06040922377395258,0.586448392460396,3.059906482696533,0.28142213821411133,1127724
D-8,0.9374839207615128,0.06683804627249357,0.174496644295302,0.09665427509293681,0.7957918362856199,3.1604127883911133,0.28031110763549805,1127724
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500710474698445,3.046144962310791,0.2715885639190674,1127724
E-1,0.8663260456273765,0.0,0.0,0.0,0.3209954675122595,3.530651092529297,0.297379732131958,1127724
E-10,0.8882807852468768,0.0,0.0,0.0,0.48278752044442425,3.523239850997925,0.3007068634033203,1127724
E-11,0.8916092227240314,0.0,0.0,0.0,0.49304905951966904,3.516118288040161,0.2994718551635742,1127724
E-12,0.8573466476462197,0.0,0.0,0.0,0.23978537554066887,3.581557273864746,0.30263805389404297,1127724
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.42764836473463147,3.544945240020752,0.30510854721069336,1127724
E-2,0.7725332068311196,0.0,0.0,0.0,0.23074965575251805,3.531317949295044,0.30000948905944824,1127724
E-3,0.5812111612038504,0.22627737226277372,0.02895392278953923,0.05133866961081976,0.13089795898015077,3.5387418270111084,0.28652215003967285,1127724
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08315758390668493,3.5539352893829346,0.3021430969238281,1127724
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.3748468639925101,3.5207622051239014,0.29522132873535156,1127724
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7173341153832146,3.5390920639038086,0.29649901390075684,1127724
E-7,0.9714981729598051,0.6763990267639902,0.7335092348284961,0.7037974683544304,0.8662412999684295,3.413731575012207,0.2997314929962158,1127724
E-8,0.864444971537002,0.0,0.0,0.0,0.5274970587076733,3.5404882431030273,0.3057515621185303,1127724
E-9,0.917093391855645,0.21897810218978103,0.20044543429844097,0.20930232558139536,0.4913031725344051,3.5549609661102295,0.2945592403411865,1127724
F-1,0.9264497878359265,0.0,0.0,0.0,0.4032625408272503,3.5265614986419678,0.3079054355621338,1127724
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7976760591609313,3.4948244094848633,0.30831027030944824,1127724
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8997960289750255,3.548056125640869,0.29810380935668945,1127724
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.8148621487566083,6.007420063018799,0.25887084007263184,2480724
F-5,0.935374149659864,0.5052083333333334,0.3895582329317269,0.4399092970521542,0.8434499262091748,7.274825096130371,0.2966601848602295,2480724
F-7,0.8165119095680259,0.11290322580645161,0.03905160390516039,0.058031088082901555,0.3243996156592205,7.015101671218872,0.39232683181762695,2480724
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7235308465774852,9.381270170211792,0.18256330490112305,2480724
G-1,0.9237662803202294,0.0,0.0,0.0,0.13984368434322214,3.3983051776885986,0.30535125732421875,1127724
G-2,0.9308635174218427,0.0,0.0,0.0,0.6277690568690792,2.9268267154693604,0.268373966217041,1127724
G-3,0.9308313052388881,0.0,0.0,0.0,0.6372596276035414,3.21120285987854,0.2784090042114258,1127724
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8761532879505165,3.3033316135406494,0.3063020706176758,1127724
G-6,0.9266978922716628,0.0,0.0,0.0,0.8947362396444517,3.6087448596954346,0.3103346824645996,1127724
G-7,0.9791903140370791,1.0,0.7064056939501779,0.8279457768508863,0.8843400670586876,2.89188814163208,0.28466296195983887,1127724
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.4816775334103591,6.14340353012085,0.1616957187652588,2480724
M-2,0.5144694533762058,1.0,0.09348198970840481,0.17098039215686275,0.8239087023869511,6.11774206161499,0.16120433807373047,2480724
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.5898412286423665,5.585126161575317,0.1588284969329834,2480724
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.4588332032003693,5.696507930755615,0.15442276000976562,2480724
M-5,0.7684975034044484,0.0,0.0,0.0,0.6984478935698448,5.648909330368042,0.17159104347229004,2480724
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9870434787624965,4.270724773406982,0.1506969928741455,2480724
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8631661268106823,4.364517688751221,0.15596652030944824,2480724
P-1,0.8379535990481856,0.12351543942992874,0.049760765550239235,0.07094133697135062,0.3707704909506969,3.532525062561035,0.3005025386810303,1127724
P-10,0.9258333333333333,0.14,0.18340611353711792,0.15879017013232513,0.8206837530522664,12.36857008934021,0.4985063076019287,2480724
P-11,0.838136826783115,0.11627906976744186,0.04716981132075472,0.06711409395973154,0.6860716680348158,11.277120590209961,0.26580071449279785,2480724
P-14,0.9248333333333333,0.21333333333333335,0.22939068100358423,0.22107081174438686,0.7653936731866938,8.112120628356934,0.48780298233032227,2480724
P-15,0.9067489114658926,0.0,0.0,0.0,0.5087459329579386,10.47719955444336,0.21143698692321777,2480724
P-2,0.8867924528301887,1.0,0.3066465256797583,0.46936416184971097,0.9274552115360211,3.467653751373291,0.296405553817749,1127724
