Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Channel
0.6122037914691943,0.05716824644549763,0.6819787985865724,0.10549330418147035,0.6070031982762317,0.006394624710083008,0.20143651962280273,0,A-1
0.5770028519574799,0.02138690861957226,0.21359223300970873,0.038880706921944036,0.27634131578199805,0.010827064514160156,0.19107437133789062,0,A-2
0.5810118675827608,0.03622735790131168,0.3020833333333333,0.06469604015616286,0.4152926535231597,0.005812168121337891,0.19468379020690918,0,A-3
0.5790609137055838,0.02284263959390863,0.23300970873786409,0.041606472117885006,0.3403260354298616,0.00549769401550293,0.19234085083007812,0,A-4
0.5909192076563543,0.05787423483583751,0.41767068273092367,0.10166177908113393,0.6520455053011291,0.0037479400634765625,0.10351276397705078,0,A-5
0.786268516341406,0.16831683168316833,0.7112970711297071,0.2722177742193755,0.8780007421722718,0.0011780261993408203,0.09790349006652832,0,A-6
0.33222630767406003,0.025504151838671413,0.03539094650205761,0.029644950017235435,0.041656431746972214,0.0060939788818359375,0.1986408233642578,0,A-7
0.6480733944954128,0.6418960244648318,0.5516425755584757,0.5933568904593639,0.7201170927089191,0.0013930797576904297,0.21888279914855957,0,A-8
0.6446441583677435,0.6423800850030358,0.5476190476190477,0.5912265996088293,0.7304347826086957,0.0013484954833984375,0.20113563537597656,0,A-9
0.9011983681795003,0.0,0.0,0.0,0.5920465726870084,0.00509953498840332,0.18572688102722168,0,B-1
0.7422480620155039,0.5181598062953995,0.7615658362989324,0.6167146974063401,0.823810245888045,0.013689517974853516,0.10672593116760254,0,C-1
0.7455429497568882,0.5418918918918919,0.7523452157598499,0.6300078554595444,0.842945277824437,0.002802610397338867,0.10530424118041992,0,C-2
0.9051630761824527,0.8715403128760529,0.8891958256599141,0.8802795502886661,0.9685909675879387,0.005812644958496094,0.18995928764343262,0,D-1
0.5642373115751625,0.0,0.0,0.0,0.3884517662486682,0.00560450553894043,0.21016669273376465,0,D-11
0.9196683078517751,0.8490939044481054,0.940854326396495,0.8926220990647731,0.937827814388889,0.0003287792205810547,0.17340421676635742,0,D-12
0.6182500334985931,0.07995951417004049,0.6601671309192201,0.14264219079145352,0.6383480451203293,0.009348392486572266,0.17508578300476074,0,D-13
0.7480412371134021,0.47835051546391755,0.8154657293497364,0.6029889538661468,0.7989534725168171,0.01716899871826172,0.1435697078704834,0,D-14
0.6925434116445353,0.5351213282247765,0.6377473363774734,0.5819444444444445,0.66843676038921,0.024254798889160156,0.11398696899414062,0,D-15
0.6127574083375188,0.5489949748743719,0.5147232037691402,0.5313069908814589,0.64197809723606,0.005993843078613281,0.10422563552856445,0,D-16
0.5496128648004764,0.5735556879094699,0.45052631578947366,0.5046508581160749,0.611926872196673,0.0059206485748291016,0.2070765495300293,0,D-2
0.9703791469194313,0.9686018957345972,0.9578207381370826,0.9631811487481591,0.983274844272,0.0065762996673583984,0.22536182403564453,0,D-3
0.9758249728030944,0.960411000302206,0.9787496150292577,0.9694935936546675,0.9925620527491721,0.006273508071899414,0.19812488555908203,0,D-4
0.5751211631663974,0.010770784247728038,0.1285140562248996,0.01987577639751553,0.13185434312818903,0.005521297454833984,0.19346189498901367,0,D-5
0.5636387298282145,0.0,0.0,0.0,0.47668895616881946,0.005695343017578125,0.2115645408630371,0,D-6
0.5592582639075517,0.40275445078938527,0.44390966308774527,0.42233180697428674,0.5828195998872666,0.005336284637451172,0.2140030860900879,0,D-7
0.9463122230909565,0.3552397868561279,0.8032128514056225,0.49261083743842365,0.8575278893351183,0.005384922027587891,0.18560290336608887,0,D-8
0.9167360532889259,0.7119938884644768,0.8069264069264069,0.7564935064935064,0.8491863889979905,0.005608081817626953,0.1927335262298584,0,D-9
0.5245310245310245,0.04149128081779916,0.15265486725663716,0.06524822695035461,0.33465225011820104,0.006324052810668945,0.19611287117004395,0,E-1
0.5578567128236003,0.055388320288982544,0.2562674094707521,0.09108910891089109,0.45854494548474467,0.005941152572631836,0.20894336700439453,0,E-10
0.5572528265576137,0.050511124473842456,0.24312590448625182,0.08364451082897685,0.4622445630207767,0.006243705749511719,0.20635700225830078,0,E-11
0.5146775745909529,0.0406015037593985,0.13789581205311544,0.06273234200743494,0.28342812592326483,0.006612539291381836,0.21164965629577637,0,E-12
0.5690758293838862,0.08708530805687204,0.3462897526501767,0.1391715976331361,0.526511076674861,0.0061757564544677734,0.20438218116760254,0,E-13
0.4386701872299568,0.037803780378037805,0.07894736842105263,0.05112598904443092,0.24524680168354376,0.0059185028076171875,0.21642613410949707,0,E-2
0.3350191192796349,0.16404563675609005,0.1656288916562889,0.16483346243222308,0.15721044805167547,0.0061223506927490234,0.18966984748840332,0,E-3
0.336644591611479,0.11587982832618025,0.13021012745435756,0.12262773722627737,0.11588678907870706,0.006404399871826172,0.21764254570007324,0,E-4
0.5921670373115888,0.07041383570105003,0.4393063583815029,0.12137343625232899,0.5011882459922293,0.0058841705322265625,0.21620917320251465,0,E-5
0.6214814814814815,0.06759259259259259,0.8295454545454546,0.125,0.8228823456618249,0.014317512512207031,0.19383454322814941,0,E-6
0.6477188655980272,0.13347718865598027,0.9039665970772442,0.23260811173784582,0.8829075666254201,0.00564122200012207,0.2009263038635254,0,E-7
0.5760921747479597,0.0933093309330933,0.37880633373934225,0.14973519499277804,0.5061884874980762,0.0073108673095703125,0.19566941261291504,0,E-8
0.6008392989385337,0.08577599506325208,0.5063752276867031,0.1467018469656992,0.5651991259338681,0.006460666656494141,0.18719100952148438,0,E-9
0.5692986641221374,0.006261180679785331,0.07023411371237458,0.01149739939775527,0.3666768014594102,0.013713836669921875,0.19088959693908691,0,F-1
