Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Channel
0.6017564402810305,0.028981264637002343,0.5409836065573771,0.05501528202278411,0.686735572613123,1.6592307090759277,0.053575992584228516,1127724,A-1
0.5732019452265165,0.0,0.0,0.0,0.18632635920085316,0.0726630687713623,0.025342941284179688,1127724,A-2
0.5691548426896977,0.005243676742751388,0.05985915492957746,0.009642654566080544,0.3268981939199447,0.1066439151763916,0.008159399032592773,1127724,A-3
0.5738095238095238,0.0,0.0,0.0,0.2887314447839748,0.09082221984863281,0.018938064575195312,1127724,A-4
0.5876333551055954,0.025040827436037017,0.3087248322147651,0.04632426988922457,0.6938017627266083,0.09092950820922852,0.004883527755737305,1127724,A-5
0.801056742476453,0.11696522655426765,0.7985611510791367,0.20404411764705882,0.9161283218323302,0.09942102432250977,0.004058837890625,1127724,A-6
0.36068456218497247,0.056858147713950764,0.07983539094650206,0.06641561109209175,0.07799962631775267,0.08419609069824219,0.026131153106689453,1127724,A-7
0.6571601208459215,0.6462235649546828,0.5621550591327201,0.6012649332396346,0.7278338580755922,0.0919804573059082,0.007227897644042969,1127724,A-8
0.6544276457883369,0.6475704859028194,0.5587474120082816,0.5998888580161156,0.7371364653243848,0.08591842651367188,0.007164716720581055,1127724,A-9
0.9150302114803626,0.0,0.0,0.0,0.6009235335527693,0.08562445640563965,0.017360210418701172,1127724,B-1
0.678373382624769,0.3648960739030023,0.683982683982684,0.4759036144578313,0.709100828666046,0.07766103744506836,0.07730412483215332,2480724,C-1
0.7216811891337775,0.36538461538461536,0.8558558558558559,0.5121293800539084,0.8049885484990553,0.08164453506469727,0.006786823272705078,2480724,C-2
0.9215126650017837,0.8861474435196195,0.9149785144260283,0.9003322259136213,0.9723549838463426,0.08430767059326172,0.02010798454284668,1127724,D-1
0.5860046378393126,0.009549795361527967,0.1761006289308176,0.018117114202523456,0.41335978140006385,0.07703542709350586,0.021424531936645508,1127724,D-11
0.916858531593758,0.8475873544093178,0.9299014238773274,0.8868384401114207,0.927216212394729,0.08711791038513184,0.009223461151123047,1127724,D-12
0.6099431442549252,0.055206611570247935,0.6447876447876448,0.10170523751522534,0.6337332481910797,0.1064298152923584,0.0066487789154052734,1127724,D-13
0.6213861386138614,0.23366336633663368,0.5645933014354066,0.33053221288515405,0.6836155626153877,0.11655163764953613,0.1253340244293213,2480724,D-14
0.641399416909621,0.4507897934386391,0.5646879756468798,0.5013513513513513,0.6927537082123336,0.10688376426696777,0.04003143310546875,2480724,D-15
0.6226685796269728,0.47607655502392343,0.5313751668891856,0.5022082018927445,0.6096713153553968,0.1050255298614502,0.019046545028686523,2480724,D-16
0.6041200706297822,0.6341965862271924,0.504093567251462,0.5617098918284895,0.6406618441839196,0.10231280326843262,0.014430761337280273,1127724,D-2
0.9618266978922717,0.9461358313817331,0.9579134558387671,0.9519882179675994,0.97266765897399,0.0986642837524414,0.014974594116210938,1127724,D-3
0.9710975755404275,0.9486413854882054,0.9784416384354789,0.9633110976349303,0.9924548738587713,0.10245251655578613,0.01096343994140625,1127724,D-4
0.5887353878852285,0.010627698439056792,0.21476510067114093,0.020253164556962026,0.22362572546251788,0.0914452075958252,0.014598846435546875,1127724,D-5
0.6039311408016445,0.03371868978805395,0.5865921787709497,0.06377163680534467,0.5945059667449011,0.10173320770263672,0.009222030639648438,1127724,D-6
0.5518430124635375,0.3874709976798144,0.43280266567937803,0.40888422525358514,0.5866393214628749,0.1033487319946289,0.010558366775512695,1127724,D-7
0.9470028299459737,0.2159827213822894,0.6711409395973155,0.32679738562091504,0.7957918362856199,0.09365344047546387,0.014115095138549805,1127724,D-8
0.9178757185874623,0.7119938884644768,0.8069264069264069,0.7564935064935064,0.8500710474698445,0.10196065902709961,0.010071039199829102,1127724,D-9
0.5560836501901141,0.04961378490790255,0.2372159090909091,0.08206388206388206,0.3223447335616276,0.11728429794311523,0.008780717849731445,1127724,E-1
0.5938132064247472,0.06930398572278405,0.4498069498069498,0.12010309278350516,0.4829767277466022,0.09478116035461426,0.014420032501220703,1127724,E-10
0.5922272403137627,0.06327985739750445,0.43380855397148677,0.11044853513093078,0.490418341712095,0.1035771369934082,0.01235198974609375,1127724,E-11
