Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Channel
0.6015222482435597,0.028688524590163935,0.5355191256830601,0.054459572103362046,0.687956367849733,0.2275679111480713,0.3639533519744873,32396,A-1
0.5732019452265165,0.0,0.0,0.0,0.18316141797923174,0.052408695220947266,0.1308727264404297,32396,A-2
0.5691548426896977,0.005243676742751388,0.05985915492957746,0.009642654566080544,0.3233664871211671,0.04021477699279785,0.14877700805664062,32396,A-3
0.5738095238095238,0.0,0.0,0.0,0.28562272071540673,0.04094958305358887,0.14737367630004883,32396,A-4
0.586762464620074,0.023952095808383235,0.2953020134228188,0.044310171198388724,0.6828360688417834,0.027837753295898438,0.02860569953918457,32396,A-5
0.8005972892258213,0.11912225705329153,0.8201438848920863,0.20802919708029197,0.9252508766598493,0.031162738800048828,0.023196697235107422,32396,A-6
0.3224709881608252,0.009085580304806565,0.012757201646090535,0.010612803834303321,0.013391989304863332,0.03826475143432617,0.16214394569396973,32396,A-7
0.6564350453172205,0.6455811138014528,0.5605781865965834,0.6000844000562667,0.7214668677443726,0.03020930290222168,0.03741335868835449,32396,A-8
0.6544276457883369,0.6475704859028194,0.5587474120082816,0.5998888580161156,0.7371364653243847,0.03436636924743652,0.03151226043701172,32396,A-9
0.9150302114803626,0.0,0.0,0.0,0.6009235335527693,0.03985309600830078,0.1349031925201416,32396,B-1
0.6626617375231053,0.34526558891454967,0.6471861471861472,0.4503012048192771,0.7079842405929363,0.03625035285949707,0.16174912452697754,57596,C-1
0.7206560738083034,0.3641025641025641,0.8528528528528528,0.5103324348607368,0.7839304075398018,0.031868696212768555,0.041008949279785156,57596,C-2
0.9207991437745273,0.8852556480380499,0.9140577041129527,0.8994261552401087,0.9718915992996764,0.04533839225769043,0.15148401260375977,32396,D-1
0.5793206929477561,0.0,0.0,0.0,0.3697432713522538,0.041532039642333984,0.14100193977355957,32396,D-11
0.9153236121770274,0.8469762779819578,0.9255202628696605,0.8845080251221215,0.9209343773993394,0.030889034271240234,0.01710987091064453,32396,D-12
0.6110009255586407,0.05652892561983471,0.6602316602316602,0.10414129110840438,0.6357097396254023,0.037744760513305664,0.07341575622558594,32396,D-13
0.6213861386138614,0.23366336633663368,0.5645933014354066,0.33053221288515405,0.6843569963870716,0.04368472099304199,0.2869837284088135,57596,D-14
