Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Machine
0.3184257602862254,0.9642857142857143,0.06633906633906633,0.12413793103448276,0.6684824776930041,30.693352699279785,0.3995232582092285,283796,fan_id00
0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.8020827643963806,7.734820604324341,0.04127645492553711,283796,fan_id02
0.3558648111332008,0.9615384615384616,0.07183908045977011,0.13368983957219252,0.7197070819428995,10.478979349136353,0.03969120979309082,283796,fan_id04
0.3443579766536965,0.9615384615384616,0.06925207756232687,0.12919896640826872,0.8794561222457589,7.824576139450073,0.04222702980041504,283796,fan_id06
0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.848515722687908,7.818401575088501,0.023459672927856445,283796,pump_id00
0.6297709923664122,1.0,0.12612612612612611,0.224,0.5704313585108287,7.8032262325286865,0.0206911563873291,283796,pump_id02
0.5679611650485437,1.0,0.11,0.1981981981981982,0.9885849056603774,5.440295457839966,0.01737356185913086,283796,pump_id04
0.6472868217054264,0.9230769230769231,0.11764705882352941,0.20869565217391303,0.7535193564605329,22.74772596359253,0.020166873931884766,283796,pump_id06
0.3617021276595745,1.0,0.07303370786516854,0.13612565445026178,0.980668574220113,37.26687216758728,0.04009675979614258,283796,slider_id00
0.42289719626168226,0.9545454545454546,0.07865168539325842,0.1453287197231834,0.8482099239304908,35.82913017272949,0.03316211700439453,283796,slider_id02
0.36293436293436293,1.0,0.07303370786516854,0.13612565445026178,0.8468580940491053,4.12070107460022,0.020777225494384766,283796,slider_id04
0.47058823529411764,0.4444444444444444,0.0449438202247191,0.08163265306122448,0.6475239284228048,4.120189905166626,0.013967514038085938,283796,slider_id06
0.5559701492537313,0.5,0.058823529411764705,0.10526315789473684,0.551294343240652,7.567919731140137,0.02169060707092285,283796,valve_id00
0.4801762114537445,0.5833333333333334,0.058333333333333334,0.10606060606060606,0.7915109034267913,5.416941404342651,0.01837778091430664,283796,valve_id02
0.5555555555555556,0.5,0.058333333333333334,0.1044776119402985,0.7263888888888889,7.692399740219116,0.021979808807373047,283796,valve_id04
0.5390334572490706,0.35714285714285715,0.041666666666666664,0.07462686567164178,0.5299217002237137,7.693962812423706,0.02127861976623535,283796,valve_id06
