Machine,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
fan_id00,0.3148479427549195,0.9285714285714286,0.06388206388206388,0.11954022988505747,0.5866739945687314,1.5073180198669434,0.0073087215423583984,46388
fan_id02,0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.7351393667959292,1.1375601291656494,0.00589299201965332,46388
fan_id04,0.3359840954274354,0.7692307692307693,0.05747126436781609,0.10695187165775401,0.6477753058954394,1.1495728492736816,0.006713151931762695,46388
fan_id06,0.3404669260700389,0.9230769230769231,0.0664819944598338,0.12403100775193798,0.7408976517661543,1.1356334686279297,0.005988597869873047,46388
pump_id00,0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.8403649330801648,1.1358575820922852,0.004134178161621094,46388
pump_id02,0.6297709923664122,1.0,0.12612612612612611,0.224,0.5868384941232622,1.1111230850219727,0.003772735595703125,46388
pump_id04,0.558252427184466,0.9090909090909091,0.1,0.18018018018018017,0.8961320754716982,0.8174786567687988,0.003298044204711914,46388
pump_id06,0.6317829457364341,0.7692307692307693,0.09803921568627451,0.17391304347826086,0.6721342383107088,1.1687133312225342,0.004276275634765625,46388
slider_id00,0.3539651837524178,0.9230769230769231,0.06741573033707865,0.1256544502617801,0.7737978923860702,1.1901752948760986,0.007085561752319336,46388
slider_id02,0.39953271028037385,0.7272727272727273,0.0599250936329588,0.11072664359861592,0.7108428129434481,1.191643238067627,0.005358457565307617,46388
slider_id04,0.36293436293436293,1.0,0.07303370786516854,0.13612565445026178,0.579900124843945,0.6257505416870117,0.003478527069091797,46388
slider_id06,0.49411764705882355,0.6666666666666666,0.06741573033707865,0.12244897959183673,0.49729504785684564,0.623673677444458,0.0027472972869873047,46388
valve_id00,0.5410447761194029,0.35714285714285715,0.04201680672268908,0.07518796992481203,0.40612486605380405,1.107290506362915,0.005337715148925781,46388
valve_id02,0.4801762114537445,0.5833333333333334,0.058333333333333334,0.10606060606060606,0.5670560747663551,0.8249118328094482,0.0032427310943603516,46388
valve_id04,0.5703703703703704,0.6428571428571429,0.075,0.13432835820895522,0.5947777777777777,1.1105680465698242,0.003684520721435547,46388
valve_id06,0.5687732342007435,0.6428571428571429,0.075,0.13432835820895522,0.4601230425055928,1.10634446144104,0.004628658294677734,46388
