Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Machine
0.3148479427549195,0.9285714285714286,0.06388206388206388,0.11954022988505747,0.6115188154661839,0.0014033317565917969,0.011569023132324219,0,fan_id00
0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.794763959437071,0.0013196468353271484,0.01028132438659668,0,fan_id02
0.34791252485089463,0.8846153846153846,0.06609195402298851,0.12299465240641712,0.7149425287356321,0.0012888908386230469,0.010917425155639648,0,fan_id04
0.3404669260700389,0.9230769230769231,0.0664819944598338,0.12403100775193798,0.8176271431933808,0.001619100570678711,0.010479450225830078,0,fan_id06
0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.8495345713888761,0.0013988018035888672,0.0051136016845703125,0,pump_id00
0.6297709923664122,1.0,0.12612612612612611,0.224,0.5705506831334645,0.0012660026550292969,0.0027081966400146484,0,pump_id02
0.5679611650485437,1.0,0.11,0.1981981981981982,0.963867924528302,0.0009217262268066406,0.0028803348541259766,0,pump_id04
0.6472868217054264,0.9230769230769231,0.11764705882352941,0.20869565217391303,0.7455379587732529,0.0012998580932617188,0.00510406494140625,0,pump_id06
0.3578336557059961,0.9615384615384616,0.0702247191011236,0.13089005235602094,0.9461232465629144,0.0013959407806396484,0.012006044387817383,0,slider_id00
0.42289719626168226,0.9545454545454546,0.07865168539325842,0.1453287197231834,0.8203642961825668,0.001293182373046875,0.007996559143066406,0,slider_id02
0.3552123552123552,0.9230769230769231,0.06741573033707865,0.1256544502617801,0.6263004577611321,0.0007297992706298828,0.003615856170654297,0,slider_id04
0.4823529411764706,0.5555555555555556,0.056179775280898875,0.10204081632653061,0.5210153974198918,0.0006918907165527344,0.0015518665313720703,0,slider_id06
0.5485074626865671,0.42857142857142855,0.05042016806722689,0.09022556390977443,0.4039817269189555,0.0011668205261230469,0.0031757354736328125,0,valve_id00
0.4889867841409692,0.6666666666666666,0.06666666666666667,0.12121212121212122,0.5938473520249221,0.0008826255798339844,0.0037832260131835938,0,valve_id02
0.5703703703703704,0.6428571428571429,0.075,0.13432835820895522,0.5873888888888888,0.0013289451599121094,0.004217386245727539,0,valve_id04
0.5315985130111525,0.2857142857142857,0.03333333333333333,0.05970149253731343,0.44798657718120805,0.0012671947479248047,0.00293731689453125,0,valve_id06
