Machine,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
fan_id00,0.3148479427549195,0.9285714285714286,0.06388206388206388,0.11954022988505747,0.626454804086383,2.352461814880371,0.07128715515136719,2823484
fan_id02,0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.8404063575290841,0.17822527885437012,0.025810956954956055,2823484
fan_id04,0.3558648111332008,0.9615384615384616,0.07183908045977011,0.13368983957219252,0.7679087875417129,0.1847977638244629,0.02769327163696289,2823484
fan_id06,0.3443579766536965,0.9615384615384616,0.06925207756232687,0.12919896640826872,0.8597034381619684,0.18021011352539062,0.02725696563720703,2823484
pump_id00,0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.8378641226323346,0.18013930320739746,0.01997065544128418,2823484
pump_id02,0.6297709923664122,1.0,0.12612612612612611,0.224,0.4961517809199928,0.19111943244934082,0.01154947280883789,2823484
pump_id04,0.5679611650485437,1.0,0.11,0.1981981981981982,0.9791509433962264,0.17975902557373047,0.0023224353790283203,2823484
pump_id06,0.6472868217054264,0.9230769230769231,0.11764705882352941,0.20869565217391303,0.780982905982906,0.17841458320617676,0.02517533302307129,2823484
slider_id00,0.3578336557059961,0.9615384615384616,0.0702247191011236,0.13089005235602094,0.9715786167911229,0.17962145805358887,0.03204512596130371,2823484
slider_id02,0.42289719626168226,0.9545454545454546,0.07865168539325842,0.1453287197231834,0.8388582594737943,0.17833232879638672,0.0225064754486084,2823484
slider_id04,0.3474903474903475,0.8461538461538461,0.06179775280898876,0.11518324607329843,0.676307393535858,0.17870783805847168,0.0013272762298583984,2823484
slider_id06,0.4823529411764706,0.5555555555555556,0.056179775280898875,0.10204081632653061,0.6178388125953669,0.1759641170501709,0.0017626285552978516,2823484
valve_id00,0.5261194029850746,0.21428571428571427,0.025210084033613446,0.045112781954887216,0.401274603801252,0.182481050491333,0.01900315284729004,2823484
valve_id02,0.4889867841409692,0.6666666666666666,0.06666666666666667,0.12121212121212122,0.6477414330218069,0.16705608367919922,0.006293535232543945,2823484
valve_id04,0.5555555555555556,0.5,0.058333333333333334,0.1044776119402985,0.5765,0.17155027389526367,0.0231626033782959,2823484
valve_id06,0.5315985130111525,0.2857142857142857,0.03333333333333333,0.05970149253731343,0.43456375838926176,0.1652812957763672,0.02250361442565918,2823484
