Machine,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
fan_id00,0.3041144901610018,0.8214285714285714,0.056511056511056514,0.10574712643678161,0.6365252812621234,31.569592475891113,0.43578433990478516,138836
fan_id02,0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.8175760554918345,18.711033821105957,0.0336308479309082,138836
fan_id04,0.3518886679920477,0.9230769230769231,0.06896551724137931,0.12834224598930483,0.7638301816833519,32.48787260055542,0.03341817855834961,138836
fan_id06,0.3443579766536965,0.9615384615384616,0.06925207756232687,0.12919896640826872,0.8615139499936632,18.80232858657837,0.034326791763305664,138836
pump_id00,0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.8683369610521928,17.786359786987305,0.019573450088500977,138836
pump_id02,0.6297709923664122,1.0,0.12612612612612611,0.224,0.5172125768152258,18.199214220046997,0.018048524856567383,138836
pump_id04,0.5679611650485437,1.0,0.11,0.1981981981981982,0.9804716981132076,4.530555963516235,0.014761924743652344,138836
pump_id06,0.6472868217054264,0.9230769230769231,0.11764705882352941,0.20869565217391303,0.8203871292106586,35.17585229873657,0.01724863052368164,138836
slider_id00,0.3578336557059961,0.9615384615384616,0.0702247191011236,0.13089005235602094,0.9721543722520762,45.63809061050415,0.033835649490356445,138836
slider_id02,0.42289719626168226,0.9545454545454546,0.07865168539325842,0.1453287197231834,0.8304836345872008,51.706358194351196,0.02996969223022461,138836
slider_id04,0.36293436293436293,1.0,0.07303370786516854,0.13612565445026178,0.7934526286586212,3.4380879402160645,0.018912553787231445,138836
slider_id06,0.4823529411764706,0.5555555555555556,0.056179775280898875,0.10204081632653061,0.5852406713829935,3.413942337036133,0.012134790420532227,138836
valve_id00,0.5410447761194029,0.35714285714285715,0.04201680672268908,0.07518796992481203,0.4818679149512154,6.334962844848633,0.019302845001220703,138836
valve_id02,0.4889867841409692,0.6666666666666666,0.06666666666666667,0.12121212121212122,0.7200155763239876,4.578212261199951,0.016316890716552734,138836
valve_id04,0.5703703703703704,0.6428571428571429,0.075,0.13432835820895522,0.6500555555555555,17.76689624786377,0.018480300903320312,138836
valve_id06,0.5315985130111525,0.2857142857142857,0.03333333333333333,0.05970149253731343,0.4786912751677852,6.412066221237183,0.019553422927856445,138836
