Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Machine
0.3076923076923077,0.8571428571428571,0.05896805896805897,0.1103448275862069,0.6247575326522694,1.5241806507110596,0.0667276382446289,28896,fan_id00
0.349609375,1.0,0.07242339832869081,0.13506493506493505,0.8608880878256595,0.7611083984375,0.00396728515625,28896,fan_id02
0.3558648111332008,0.9615384615384616,0.07183908045977011,0.13368983957219252,0.7854467927326659,0.7552716732025146,0.004126071929931641,28896,fan_id04
0.3443579766536965,0.9615384615384616,0.06925207756232687,0.12919896640826872,0.8872051128854127,0.7512538433074951,0.004289388656616211,28896,fan_id06
0.564625850340136,1.0,0.1048951048951049,0.189873417721519,0.8343907747881256,0.7543501853942871,0.03851580619812012,28896,pump_id00
0.6297709923664122,1.0,0.12612612612612611,0.224,0.47401706342103694,0.7465219497680664,0.0026192665100097656,28896,pump_id02
0.5679611650485437,1.0,0.11,0.1981981981981982,0.9731132075471698,0.5368282794952393,0.0029144287109375,28896,pump_id04
0.6472868217054264,0.9230769230769231,0.11764705882352941,0.20869565217391303,0.7823655103066868,0.7652394771575928,0.003055095672607422,28896,pump_id06
0.3578336557059961,0.9615384615384616,0.0702247191011236,0.13089005235602094,0.9747888896643172,0.7806215286254883,0.004156589508056641,28896,slider_id00
0.42289719626168226,0.9545454545454546,0.07865168539325842,0.1453287197231834,0.8387884709330728,0.7834396362304688,0.0035490989685058594,28896,slider_id02
0.3552123552123552,0.9230769230769231,0.06741573033707865,0.1256544502617801,0.7551671521708975,0.4288191795349121,0.0024089813232421875,28896,slider_id04
0.47058823529411764,0.4444444444444444,0.0449438202247191,0.08163265306122448,0.5844083784158691,0.4313488006591797,0.0018215179443359375,28896,slider_id06
0.5410447761194029,0.35714285714285715,0.04201680672268908,0.07518796992481203,0.42642828943658,0.7414543628692627,0.0024352073669433594,28896,valve_id00
0.4801762114537445,0.5833333333333334,0.058333333333333334,0.10606060606060606,0.6562305295950155,0.5468325614929199,0.002913236618041992,28896,valve_id02
0.562962962962963,0.5714285714285714,0.06666666666666667,0.11940298507462686,0.5866666666666667,0.7498049736022949,0.0035266876220703125,28896,valve_id04
0.5315985130111525,0.2857142857142857,0.03333333333333333,0.05970149253731343,0.4675055928411633,0.7533771991729736,0.002542257308959961,28896,valve_id06
