Dataset,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
ETTh1,0.9052924791086351,1.0,0.34615384615384615,0.5142857142857142,0.99885456562981,3.8520281314849854,0.04176616668701172,20732
ETTh2,0.8452049343414246,1.0,0.2446601941747573,0.39313572542901715,0.9984868363509141,3.325559139251709,0.017260074615478516,20732
ETTm1,0.9948802163833076,0.974903474903475,0.926605504587156,0.9501411100658513,0.9894033750466574,13.834646940231323,0.08731842041015625,20732
ETTm2,0.9973918083462133,1.0,0.9504587155963303,0.9746001881467544,0.9987172614954868,13.747928857803345,0.08693623542785645,20732
