Dataset,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
ETTh1,0.9052924791086351,1.0,0.34615384615384615,0.5142857142857142,0.9965406859311001,0.0022928714752197266,0.006053447723388672,0
ETTh2,0.8452049343414246,1.0,0.2446601941747573,0.39313572542901715,0.989772296568413,0.0022666454315185547,0.002792835235595703,0
ETTm1,0.9919822256568779,0.9459459459459459,0.8990825688073395,0.9219190968955786,0.9809450841610047,0.008097410202026367,0.02626657485961914,0
ETTm2,0.9898570324574961,0.9247104247104247,0.8788990825688073,0.9012229539040452,0.9920304070393455,0.009396076202392578,0.02779388427734375,0
