Dataset,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
ETTh1,0.9052924791086351,1.0,0.34615384615384615,0.5142857142857142,1.0,35.310062885284424,0.14179444313049316,563271
ETTh2,0.8452049343414246,1.0,0.2446601941747573,0.39313572542901715,1.0,35.81673526763916,0.1290264129638672,563271
ETTm1,0.9973918083462133,1.0,0.9504587155963303,0.9746001881467544,1.0,144.8586883544922,0.5537528991699219,563271
ETTm2,0.9973918083462133,1.0,0.9504587155963303,0.9746001881467544,1.0,143.55533719062805,0.5273597240447998,563271
