Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters,Dataset
0.9052924791086351,1.0,0.34615384615384615,0.5142857142857142,0.9978868269933883,2.020595073699951,0.10222530364990234,315924,ETTh1
0.8452049343414246,1.0,0.2446601941747573,0.39313572542901715,0.9980290970582233,0.08945369720458984,0.033446311950683594,315924,ETTh2
0.9941074188562596,0.9671814671814671,0.9192660550458716,0.9426152398871119,0.9887764122799386,0.15973758697509766,0.26955699920654297,315924,ETTm1
0.9973918083462133,1.0,0.9504587155963303,0.9746001881467544,0.9984641189638931,0.15131139755249023,0.27871155738830566,315924,ETTm2
