Dataset,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
ETTh1,0.9052924791086351,1.0,0.34615384615384615,0.5142857142857142,0.9891464979878195,5.467647314071655,0.03798508644104004,42215
ETTh2,0.844409072821329,0.9920634920634921,0.24271844660194175,0.39001560062402496,0.9868567596722937,5.107724666595459,0.02403998374938965,42215
ETTm1,0.9581723338485317,0.6081081081081081,0.5779816513761468,0.5926622765757291,0.9616918452743453,21.173161506652832,0.11176729202270508,42215
ETTm2,0.9946870170015456,0.972972972972973,0.9247706422018349,0.9482596425211665,0.9947515489310668,21.23119568824768,0.11528849601745605,42215
